circuit_name,spider_id,cluster_label
toy_medium_diverse,44,0
toy_medium_diverse,45,0
toy_medium_diverse,46,-1
toy_medium_diverse,47,0
toy_medium_diverse,48,0
toy_medium_diverse,49,0
toy_medium_diverse,50,0
toy_medium_diverse,51,-1
toy_medium_diverse,52,-1
toy_medium_diverse,53,-1
toy_medium_diverse,54,-1
toy_medium_diverse,55,0
toy_medium_diverse,56,0
toy_medium_diverse,57,-1
toy_medium_diverse,58,-1
toy_medium_diverse,59,-2
toy_medium_diverse,60,0
toy_medium_diverse,61,-1
toy_medium_diverse,62,0
toy_medium_diverse,63,0
toy_medium_diverse,64,0
toy_medium_diverse,65,0
toy_small_dense,0,4
toy_small_dense,1,4
toy_small_dense,2,4
toy_small_dense,3,4
toy_small_dense,4,4
toy_small_dense,5,4
toy_small_dense,6,4
toy_small_dense,7,-1
toy_small_dense,8,4
toy_small_dense,9,-1
toy_small_dense,10,-1
toy_small_dense,11,-1
toy_small_dense,12,-1
toy_small_dense,13,2
toy_small_dense,14,-1
toy_small_dense,15,-1
toy_small_dense,16,3
toy_small_dense,17,4
toy_small_dense,18,-1
toy_small_dense,19,4
toy_small_dense,20,2
toy_small_dense,21,-1
toy_small_dense,22,1
toy_small_dense,23,-1
toy_small_dense,24,1
toy_small_dense,25,4
toy_small_dense,26,-1
toy_small_dense,27,1
toy_small_dense,28,4
toy_small_dense,29,0
toy_small_dense,30,4
toy_small_dense,31,2
toy_small_dense,32,0
toy_small_dense,33,-1
toy_small_dense,34,-1
toy_small_dense,35,3
toy_small_dense,36,5
toy_small_dense,37,-1
toy_small_dense,38,3
toy_small_dense,39,4
toy_small_dense,40,2
toy_small_dense,41,4
